PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.Organisms	[1] Ctrl_1.raw.PG.Log2Quantity	[2] Ctrl_2.raw.PG.Log2Quantity	[3] Ctrl_3.raw.PG.Log2Quantity	[4] Ctrl_4.raw.PG.Log2Quantity	[5] Ctrl_5.raw.PG.Log2Quantity	[6] TreatA_1.raw.PG.Log2Quantity	[7] TreatA_2.raw.PG.Log2Quantity	[8] TreatA_3.raw.PG.Log2Quantity	[9] TreatA_4.raw.PG.Log2Quantity	[10] TreatA_5.raw.PG.Log2Quantity	[11] TreatB_1.raw.PG.Log2Quantity	[12] TreatB_2.raw.PG.Log2Quantity	[13] TreatB_3.raw.PG.Log2Quantity	[14] TreatB_4.raw.PG.Log2Quantity	[15] TreatB_5.raw.PG.Log2Quantity
Q5TAB6	RIPPLY2	ripply transcriptional repressor 2	Homo sapiens	17.329	16.197	16.274	16.653	16.647	18.262	18.967	18.275	18.847	18.362	17.048	16.563	16.713	16.581	16.015
A0A2R8YCH5	CTNNB1	catenin beta 1	Homo sapiens	16.256	16.059	15.775	15.677	16.115	16.255	15.713	15.767	15.798	NA	16.03	16.064	16.309	16.43	15.693
A8K6Z5	SCARF1	scavenger receptor class F member 1	Homo sapiens	19.233	19.481	NA	19.476	19.59	20.111	19.923	20.005	19.556	19.991	19.786	19.912	19.816	19.994	19.449
B2RC39	NKD1	NKD inhibitor of WNT signaling pathway 1	Homo sapiens	NA	15.04	14.623	NA	15.452	15.097	14.591	NA	14.369	14.545	14.336	15.275	15.031	14.863	15.206
A0A0A0MTF6	MORN5	MORN repeat containing 5	Homo sapiens	13.419	13.475	12.901	NA	13.319	NA	NA	13.628	NA	NA	NA	13.79	12.803	NA	NA
Q13334	GPR68	G protein-coupled receptor 68	Homo sapiens	14.484	14.102	14.197	14.029	14.34	13.281	NA	NA	NA	NA	NA	NA	13.8	NA	13.813
A8K8T3	NDST1	N-deacetylase and N-sulfotransferase 1	Homo sapiens	13.819	NA	NA	NA	NA	13.617	13.884	13.989	13.043	NA	NA	NA	13.523	13.866	13.375
B2R993	LOC102724560	cystathionine beta-synthase like	Homo sapiens	15.289	15.392	14.752	14.919	NA	16.067	15.489	15.607	15.213	15.644	NA	15.436	15.464	NA	15.176
A0A1C7CYX9	DPYSL2	dihydropyrimidinase like 2	Homo sapiens	16.18	16.244	16.73	16.233	16.554	16.583	16.774	16.991	16.715	16.448	16.382	16.156	16.673	16.956	16.322
A1A5E3	RTN4RL1	reticulon 4 receptor like 1	Homo sapiens	NA	NA	NA	NA	13.778	NA	13.565	NA	NA	NA	13.771	NA	14.156	NA	NA
A6NED4	ABHD12	abhydrolase domain containing 12, lysophospholipase	Homo sapiens	19.469	20.096	19.772	19.459	20.113	20.158	19.845	20.576	20.231	19.54	NA	19.891	20.059	20.026	NA
D3DUY2	ACSL4	acyl-CoA synthetase long chain family member 4	Homo sapiens	17.802	17.557	17.605	NA	17.494	17.495	17.352	17.839	17.679	17.944	19.76	20.209	20.29	20.203	19.586
A0A2R8Y6X2	DTD1	D-aminoacyl-tRNA deacylase 1	Homo sapiens	19.395	18.825	19.294	18.951	19.68	17.16	16.566	17.484	16.883	16.509	20.686	20.591	20.794	21.038	20.855
J3KQI1	SLC25A48	solute carrier family 25 member 48	Homo sapiens	15.423	14.979	NA	NA	15.068	15.098	14.76	15.502	14.702	14.733	NA	15.265	15.189	15.305	14.788
A0AVC5	MTNR1A	melatonin receptor 1A	Homo sapiens	16.665	16.289	15.973	NA	16.432	16.077	16.463	16.848	16.307	16.634	16.886	17.021	17.117	16.424	16.32
Q7Z6R9	TFAP2D	transcription factor AP-2 delta	Homo sapiens	14.893	14.94	NA	14.127	14.458	NA	14.876	15.126	14.462	13.8	14.427	14.698	NA	14.559	NA
Q540R4	LOC124905626	testis-specific Y-encoded protein 2	Homo sapiens	17.999	17.917	17.88	17.363	17.702	18.114	17.836	18.369	17.278	17.888	17.272	18.181	17.685	18.358	17.483
A5A5H4	SET	SET nuclear proto-oncogene	Homo sapiens	15.638	15.237	15.41	15.442	15.457	15.935	15.107	15.944	15.163	15.078	15.488	15.783	NA	15.526	15.804
A0A384MTU6	CDC7	cell division cycle 7	Homo sapiens	19.226	18.971	19.257	18.228	19.245	18.895	18.458	19.39	18.727	18.381	18.663	19.231	19.118	18.994	18.487
Q6P1M7	MXRA5	matrix remodeling associated 5	Homo sapiens	15.971	15.843	15.993	NA	NA	16.048	15.944	16.676	16.143	NA	15.771	16.476	NA	16.349	15.688
B3KVA4	TCF4	transcription factor 4	Homo sapiens	17.099	16.745	16.749	16.367	16.642	17.099	16.561	NA	16.252	16.119	16.196	17.289	16.909	17.349	16.104
D3DSA7	MIS18BP1	MIS18 binding protein 1	Homo sapiens	NA	15.049	15.22	NA	15.089	15.122	15.435	15.883	15.462	15.417	15.13	15.643	15.083	15.496	15.312
A0A126GVQ0	OR10P1	olfactory receptor family 10 subfamily P member 1	Homo sapiens	17.536	17.042	17.355	16.611	17.679	17.544	17.459	17.841	17.409	17.012	17.535	17.532	17.362	17.611	16.687
E7ET51	CYP4F12	cytochrome P450 family 4 subfamily F member 12	Homo sapiens	19.217	NA	19.103	18.64	19.021	18.941	19.153	19.331	18.72	18.709	18.371	19.372	18.739	18.719	18.965
A6NI79	CCDC69	coiled-coil domain containing 69	Homo sapiens	NA	NA	NA	NA	NA	13.544	NA	NA	NA	NA	NA	12.94	13.44	NA	NA
A0A0S2Z665	PHF21B	PHD finger protein 21B	Homo sapiens	NA	NA	12.957	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.846	NA	13.053
Q16873	LTC4S	leukotriene C4 synthase	Homo sapiens	14.921	14.114	13.866	13.941	NA	15.006	NA	14.656	NA	14.004	NA	14.703	NA	14.688	NA
B2R8H5	GINS4	GINS complex subunit 4	Homo sapiens	14.872	14.496	14.647	14.311	14.568	14.824	NA	15.426	14.455	NA	14.938	14.86	14.569	14.952	14.419
F8VW41	PACS2	phosphofurin acidic cluster sorting protein 2	Homo sapiens	17.81	18.396	17.681	17.362	17.756	17.585	17.997	18.133	17.659	16.902	18.165	17.766	17.765	18.177	18.08
Q6ZSG1	ARK2C	arkadia (RNF111) C-terminal like ring finger ubiquitin ligase 2C	Homo sapiens	15.902	16	16.237	15.463	16.386	15.739	NA	15.978	NA	15.52	15.943	15.673	15.579	16.088	NA
A4D2A3	COPS6	COP9 signalosome subunit 6	Homo sapiens	18.247	18.327	18.327	18.161	18.594	18.933	NA	19.338	18.57	18.354	18.406	18.403	NA	19.389	17.804
Q17R88	SORCS3	sortilin related VPS10 domain containing receptor 3	Homo sapiens	17.136	16.609	NA	16.319	17.041	19.758	19.224	20.23	19.866	19.307	16.806	17.093	17.238	16.383	16.74
B4DGG1	FAM234A	family with sequence similarity 234 member A	Homo sapiens	18.108	17.747	17.397	17.208	17.738	17.245	17.404	17.859	17.725	17.055	17.356	17.834	17.191	17.57	17.572
A1L020	MEX3A	mex-3 RNA binding family member A	Homo sapiens	NA	NA	NA	NA	NA	13.419	NA	13.786	13.341	13.506	13.398	NA	NA	13.846	NA
B2RCA5	FTSJ3	FtsJ RNA 2'-O-methyltransferase 3	Homo sapiens	14.827	NA	14.259	14.368	14.437	14.652	14.585	14.922	14.259	NA	NA	15.207	NA	NA	15.136
A0A494C1S0	SPDYE1	speedy/RINGO cell cycle regulator family member E1	Homo sapiens	16.48	NA	16.299	15.619	16.624	16.756	15.908	17.127	16.36	NA	16.651	16.801	16.727	16.35	15.918
A6NCK2	TRIM43B	tripartite motif containing 43B	Homo sapiens	NA	15.727	15.573	14.86	15.304	14.527	14.43	15.239	13.72	NA	15.534	15.858	15.818	15.424	NA
A6NHX0	CASTOR2	cytosolic arginine sensor for mTORC1 subunit 2	Homo sapiens	15.504	15.492	15.203	NA	NA	15.259	15.663	NA	14.675	14.847	NA	13.818	NA	14.031	NA
B3KPJ5	VAC14	VAC14 component of PIKFYVE complex	Homo sapiens	10.946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B2RWN9	DOP1A	DOP1 leucine zipper like protein A	Homo sapiens	17.228	NA	17.346	16.965	16.874	17.748	17.117	17.727	16.871	16.607	17.347	17.414	17.651	17.635	17.451
Q9BTE2	NPRL3	NPR3 like, GATOR1 complex subunit	Homo sapiens	19.402	19.122	NA	18.952	18.974	19.015	19.232	19.689	19.467	18.979	19.085	19.647	19.023	19.152	18.683
A0AAQ5BHG2	TMEM181	transmembrane protein 181	Homo sapiens	18.924	18.583	18.486	18.722	19.237	NA	18.99	19.101	18.349	18.547	18.075	19.071	NA	19.208	18.326
Q96MA1	DMRTB1	DMRT like family B with proline rich C-terminal 1	Homo sapiens	18.544	18.368	19.02	18.117	18.614	17.874	18.079	18.443	18.147	18.18	18.11	18.539	18.311	NA	18.334
A4D1U4	DENND11	DENN domain containing 11	Homo sapiens	NA	NA	NA	10.043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B3KSU0	NPM2	nucleophosmin/nucleoplasmin 2	Homo sapiens	13.525	NA	NA	NA	NA	NA	NA	13.814	13.006	12.147	NA	NA	NA	NA	NA
E9PB48	ZNF780A	zinc finger protein 780A	Homo sapiens	16.286	16.563	16.57	NA	16.921	NA	16.358	16.602	16.82	NA	17.187	16.712	16.742	17.624	16.664
B2R4J4	H2BC11	H2B clustered histone 11	Homo sapiens	14.241	14.354	14.767	14.443	13.872	NA	NA	NA	14.181	14.243	14.115	15.077	14.955	14.467	NA
B1AK44	MAD2L2	mitotic arrest deficient 2 like 2	Homo sapiens	NA	18.068	19.29	18.439	18.915	19.304	18.788	19.494	18.533	18.905	19.564	19.1	18.78	19.217	19.229
Q52LK8	PCDHGB5	protocadherin gamma subfamily B, 5	Homo sapiens	14.169	NA	13.02	NA	13.348	NA	13.036	NA	NA	NA	NA	NA	NA	NA	NA
P61457	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1	Homo sapiens	15.111	NA	NA	14.133	NA	14.46	NA	15.402	14.406	NA	14.63	14.939	14.652	14.708	13.929
B7Z6C2	PGM1	phosphoglucomutase 1	Homo sapiens	19.914	20.047	20.61	19.723	20.199	20.007	19.943	20.749	20.027	20.055	19.904	20.655	20.859	20.359	19.958
B4DFJ9	PACSIN1	protein kinase C and casein kinase substrate in neurons 1	Homo sapiens	15.845	16.685	16.29	NA	15.967	16.731	15.783	16.063	16.032	NA	NA	NA	16.133	16.401	16.306
A0A0B4U845	REX1BD	required for excision 1-B domain containing	Homo sapiens	18.126	18.905	18.936	18.144	18.846	18.479	NA	19.257	18.68	18.573	18.379	18.896	18.625	18.515	18.626
A6NGK6	CCL3L3	C-C motif chemokine ligand 3 like 3	Homo sapiens	16.765	16.148	15.927	15.254	15.731	NA	17.795	18.669	NA	17.748	16.312	16.198	16.037	16.454	16.398
Q9BQA5	HINFP	histone H4 transcription factor	Homo sapiens	13.521	NA	NA	NA	13.768	NA	13.569	14.031	NA	NA	13.884	13.655	14.05	13.867	NA
H7C4X7	SCG5	secretogranin V	Homo sapiens	NA	13.852	14.119	14.091	NA	NA	NA	NA	13.73	13.59	NA	14.619	14.44	14.45	NA
Q6ZQR2	CFAP77	cilia and flagella associated protein 77	Homo sapiens	19.134	18.661	18.633	18.538	18.341	18.337	18.564	18.756	NA	18.464	18.146	18.74	18.47	18.996	18.254
P49792	RANBP2	RAN binding protein 2	Homo sapiens	15.517	15.397	15.516	14.903	15.193	15.496	15.734	15.939	15.53	15.472	NA	15.472	15.721	15.465	15.203
B2R5Q0	LOXL2	lysyl oxidase like 2	Homo sapiens	18.28	18.19	17.858	17.973	18.562	18.665	17.99	18.745	17.954	17.68	17.93	18.068	18.488	18.538	17.821
A0A1U9X8Y8	POLR1H	RNA polymerase I subunit H	Homo sapiens	17.314	17.453	17.775	16.449	17.383	16.926	17.086	17.604	17.168	16.46	17.525	17.108	17.151	17.459	17.35
D6RD17	JCHAIN	joining chain of multimeric IgA and IgM	Homo sapiens	NA	18.206	19.04	17.767	19.062	18.366	18.478	18.694	18.664	18.52	18.152	18.876	18.826	18.623	18.384
Q9UBH6	XPR1	xenotropic and polytropic retrovirus receptor 1	Homo sapiens	18.461	18.58	18.093	18.127	18.091	18.167	17.911	18.975	18.402	17.927	18.056	17.921	18.427	18.139	17.917
B2R690	ARG2	arginase 2	Homo sapiens	17.313	17.065	17.269	17.174	16.921	17.139	16.974	17.975	NA	16.983	17.278	16.98	16.81	17.161	NA
Q8WUE5	CT55	cancer/testis antigen 55	Homo sapiens	15.183	14.362	14.646	14.479	NA	14.526	NA	15.292	NA	NA	14.832	14.664	14.859	14.936	14.279
A0A804HIZ0	CACNA1C	calcium voltage-gated channel subunit alpha1 C	Homo sapiens	14.889	13.896	NA	14.223	NA	14.282	14.548	15.266	14.16	14.225	14.144	14.718	14.957	14.535	NA
Q15129	PSME2	proteasome activator subunit 2	Homo sapiens	10.252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B2R7Q9	CSRNP2	cysteine and serine rich nuclear protein 2	Homo sapiens	NA	14.778	14.154	13.839	NA	13.986	13.809	15.24	NA	14.357	NA	15.009	NA	14.049	14.404
A6NKC9	SH2D7	SH2 domain containing 7	Homo sapiens	15.656	15.529	15.826	15.287	15.752	16.109	15.817	16.025	NA	15.216	15.493	16.158	NA	16.315	15.548
B0LPE5	AKT1	AKT serine/threonine kinase 1	Homo sapiens	17.652	17.406	16.802	17.264	16.936	17.457	16.75	17.788	17.338	17.06	17.24	17.3	17.064	17.678	NA
A0A804HJN3	POMT2	protein O-mannosyltransferase 2	Homo sapiens	15.188	15.686	15.868	15.907	15.643	NA	14.896	14.55	14.47	NA	15.607	16.257	NA	16.101	15.531
A0A2R8Y7P0	TNP2	transition protein 2	Homo sapiens	18.193	NA	18.316	17.865	18.371	18.007	17.814	18.286	17.606	17.766	18.297	17.939	17.917	17.684	17.86
Q9BTM9	URM1	ubiquitin related modifier 1	Homo sapiens	NA	NA	NA	13.2	13.702	13.526	NA	13.707	13.212	12.86	13.9	13.386	NA	13.888	13.82
B3KQT3	SRPX2	sushi repeat containing protein X-linked 2	Homo sapiens	20.021	19.899	19.807	19.377	20.062	19.823	19.966	20.581	19.81	19.616	19.884	19.813	19.847	19.765	19.274
Q71SV8	XAB2	XPA binding protein 2	Homo sapiens	15.471	14.754	15.143	NA	NA	NA	14.94	15.559	14.886	14.997	NA	15.167	NA	15.185	15.147
B2R9V2	PPID	peptidylprolyl isomerase D	Homo sapiens	16.282	16.183	NA	15.391	16.323	15.564	NA	16.517	15.478	15.592	15.949	16.97	15.791	16.502	15.929
Q9NXF8	ZDHHC7	zinc finger DHHC-type palmitoyltransferase 7	Homo sapiens	NA	NA	NA	NA	13.186	15.724	16.821	17.376	15.973	16.471	NA	NA	NA	13.759	NA
Q12869	NFRKB	nuclear factor related to kappaB binding protein	Homo sapiens	19.252	19.056	19.207	18.371	18.917	19.098	19.067	20.023	NA	18.256	19.102	18.984	19.232	19.054	18.537
A0A7R8C383	IFNA7	interferon alpha 7	Homo sapiens	15.858	16.344	15.932	16.027	16.033	16.229	15.791	NA	NA	15.833	16.451	16.152	16.502	16.497	15.886
B4DRN8	ZDHHC20	zinc finger DHHC-type palmitoyltransferase 20	Homo sapiens	12.585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
H0Y4I5	CHADL	chondroadherin like	Homo sapiens	18.464	18.738	18.77	18.115	18.702	18.362	18.178	19.281	18.699	18.436	19.131	18.931	18.384	NA	17.792
B1AHI4	APOL3	apolipoprotein L3	Homo sapiens	17.349	17.145	17.223	16.942	17.1	16.872	16.689	17.47	17.458	16.662	16.79	17.536	NA	17.14	16.822
A0A0H2UH34	PPIAL4G	peptidylprolyl isomerase A like 4G	Homo sapiens	15.783	16.365	16.127	NA	16.467	NA	15.891	16.857	15.414	15.937	16.202	15.98	16.363	15.629	15.554
F1DAM1	NR6A1	nuclear receptor subfamily 6 group A member 1	Homo sapiens	19.284	19.382	19.976	19.183	18.714	19.202	19.126	19.802	19.263	19.191	19.335	19.515	19.634	19.354	19.503
A0A6I8PRM6	ADGRL2	adhesion G protein-coupled receptor L2	Homo sapiens	15.629	15.267	15.653	NA	NA	14.869	15.171	15.551	15.542	15.295	15.355	15.867	15.199	15.485	NA
A8KA31	ATP5F1C	ATP synthase F1 subunit gamma	Homo sapiens	18.576	18.568	18.589	18.187	18.696	18.526	19.005	19.196	18.51	18.233	19.266	19.553	19.773	18.914	19.861
A0A8V8TN96	USP19	ubiquitin specific peptidase 19	Homo sapiens	17.695	18.142	18.659	17.441	18.933	18.395	18.018	18.411	17.969	17.861	18.111	18.384	18.146	18.108	17.905
A0A1B0GTX1	DNMBP	dynamin binding protein	Homo sapiens	19.792	19.313	19.202	19.226	19.824	19.211	19.658	19.713	19.347	19.221	19.573	19.507	19.141	19.917	19.385
A8K169	PTPRO	protein tyrosine phosphatase receptor type O	Homo sapiens	18.875	19.412	18.86	17.828	18.397	18.906	18.515	19.462	18.947	18.777	18.759	19.4	18.717	19.13	18.788
A0A2R8Y661	RAPGEF2	Rap guanine nucleotide exchange factor 2	Homo sapiens	16.325	16.268	16.146	16.412	16.261	16.522	16.045	16.757	15.643	15.743	NA	16.429	16.423	16.374	15.478
Q8IYK2	TEKTL1	tektin like 1	Homo sapiens	16.327	16.456	16.996	NA	16.989	16.424	16.413	17.295	16.852	16.486	16.437	16.699	16.331	16.652	NA
B7ZM13	GAGE12G	G antigen 12G	Homo sapiens	NA	14.192	14.367	13.699	14.136	13.553	13.678	NA	NA	14.2	13.931	14.075	NA	14.005	13.764
A6NE01	FAM186A	family with sequence similarity 186 member A	Homo sapiens	15.589	15.435	16.315	14.993	16.067	NA	15.152	15.458	15.143	15.076	15.496	16.115	15.718	NA	15.761
A0A0S2Z4D1	STK11	serine/threonine kinase 11	Homo sapiens	15.878	16.384	16.304	NA	16.688	16.68	16.334	17.189	16.494	15.975	NA	16.88	16.458	16.775	16.417
P31512	FMO4	flavin containing dimethylaniline monoxygenase 4	Homo sapiens	17.279	17.477	17.678	16.803	17.414	NA	17.47	18.219	16.857	16.704	17.472	17.409	17.321	16.941	17.201
A8K4E2	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	Homo sapiens	NA	NA	14.677	14.715	NA	15.64	14.589	15.861	14.159	14.734	NA	15.156	14.741	15.224	15.179
P60328	KRTAP12-3	keratin associated protein 12-3	Homo sapiens	18.028	17.593	17.864	17.122	18.236	17.632	17.765	18.658	17.365	17.293	17.528	17.643	17.886	17.981	17.853
D3DNY5	NOCT	nocturnin	Homo sapiens	15.96	16.253	16.495	15.58	15.326	16.184	16.269	16.122	15.639	15.233	16.136	15.838	16.137	15.313	15.473
P0DMW2	NLRP2B	NLR family pyrin domain containing 2B	Homo sapiens	18.113	17.184	17.238	17.624	17.334	17.716	17.297	17.655	17.413	17.545	NA	17.725	18.045	17.652	17.962
A0A0A0MT80	SLC45A1	solute carrier family 45 member 1	Homo sapiens	15.404	15.396	15.113	15.18	NA	NA	NA	14.569	14.084	NA	15.266	NA	15.496	15.73	15.774
A0A1B0GVZ0	HRH2	histamine receptor H2	Homo sapiens	18.726	18.951	18.914	NA	19.022	19.264	18.81	19.245	18.779	18.867	18.401	18.864	19.07	19.353	18.969
Q05D70	CKAP5	cytoskeleton associated protein 5	Homo sapiens	14.256	14.175	14.047	14.6	13.919	14.255	14.172	NA	NA	NA	14.136	14.354	NA	14.992	13.917
O75283	PCDHA6	protocadherin alpha 6	Homo sapiens	16.336	15.796	16.609	15.887	16.456	18.637	18.161	19.147	18.606	18.945	16.236	16.291	16.054	16.474	16.596
B7Z6D3	UBN1	ubinuclein 1	Homo sapiens	NA	15.123	NA	NA	14.886	15.625	15.327	15.723	NA	15.525	15.282	15.69	15.809	15.66	NA
B2RDE0	PCCA	propionyl-CoA carboxylase subunit alpha	Homo sapiens	15.845	15.736	16.076	15.072	16.313	16.375	16.116	15.897	NA	15.552	15.982	16.563	16.127	16.242	NA
B2R4R4	GOLT1B	golgi transport 1B	Homo sapiens	NA	NA	17.839	17.865	17.533	18.369	17.358	18.169	17.297	17.281	17.599	17.882	18.194	17.983	17.806
A0A8V8TR89	DHDDS	dehydrodolichyl diphosphate synthase subunit	Homo sapiens	18.557	18.745	18.65	18.688	18.953	18.767	18.954	19.58	19.106	19.402	18.494	18.697	19.221	19.352	18.003
B7Z7T0	POLR1A	RNA polymerase I subunit A	Homo sapiens	21.699	21.319	20.862	20.436	21.12	20.896	21.327	21.932	20.737	20.9	21.279	21.573	21.283	21.459	21.188
A0A1B0GTK4	FAM237A	family with sequence similarity 237 member A	Homo sapiens	15.752	15.136	15.131	15.617	15.741	NA	15.745	15.8	15.406	16.009	15.711	16.123	15.673	15.743	15.053
B2RUU1	SPATA31A7	SPATA31 subfamily A member 7	Homo sapiens	16.157	16.446	15.425	15.679	15.456	16.118	15.731	15.698	15.86	NA	16.143	15.822	16.216	15.87	15.842
A8K5N7	TNNT1	troponin T1, slow skeletal type	Homo sapiens	15.767	16.12	15.684	14.739	16.28	16.096	15.547	16.214	NA	15.193	15.418	16.086	15.174	NA	14.93
K7EPQ7	YIF1B	Yip1 interacting factor homolog B, membrane trafficking protein	Homo sapiens	NA	15.493	15.6	15.311	15.284	15.853	15.332	16.069	16.247	15.13	15.651	15.626	15.418	15.55	16.121
A0A0K0K1K2	NME8	NME/NM23 family member 8	Homo sapiens	15.638	15.49	15.162	14.959	15.908	15.889	15.041	NA	NA	15.531	NA	15.86	15.611	15.571	15.873
B2RBM7	PSMD13	proteasome 26S subunit, non-ATPase 13	Homo sapiens	16.849	16.678	16.928	16.487	17.076	17.333	17.018	18.089	17.426	17.327	16.88	NA	16.404	16.599	17.073
B2R7K6	TIMP4	TIMP metallopeptidase inhibitor 4	Homo sapiens	19.229	19.274	18.928	18.681	19.346	18.799	19.267	19.543	18.993	18.848	19.184	19.079	19.363	19.542	19.366
B2R8Z9	POU2AF1	POU class 2 homeobox associating factor 1	Homo sapiens	15.386	15.784	NA	14.998	NA	NA	15.524	15.696	15.429	15.159	15.273	15.764	15.768	NA	15.152
B4DHL7	PDXDC1	pyridoxal dependent decarboxylase domain containing 1	Homo sapiens	NA	NA	NA	NA	NA	12.333	NA	13.123	NA	NA	13.24	13.176	NA	NA	12.721
Q9P1T6	MDFIC	MyoD family inhibitor domain containing	Homo sapiens	13.976	14.425	NA	13.934	NA	14.778	NA	NA	14.067	14.338	14.821	NA	14.18	14.418	14.146
P57054	PIGP	phosphatidylinositol glycan anchor biosynthesis class P	Homo sapiens	16.242	15.945	15.409	15.459	15.999	16.098	16.002	16.557	15.651	NA	15.866	16.637	16.435	16.456	NA
B2RAF9	ST14	ST14 transmembrane serine protease matriptase	Homo sapiens	16.421	16.489	15.64	15.576	16.71	16.295	NA	16.73	16.341	15.553	16.072	16.398	16.105	16.228	16.004
